"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2023/08/31","振込1 デイエツクスプラナ(ド","392072","三菱UFJ銀行","収入","給与","","0","jVsYz_kIq2vUkidTTPxhfA"
"1","2023/08/31","セコム","-5176","三井住友カード","水道・光熱費","セキュリティ","","0","BMA01F2D7cCKFlHK4OVF2A"
"1","2023/08/31","コガネイフア-マ-ズマ-ケツト","-1736","VIEW CARD(VIEW's NET サービスID)","食費","食料品","","0","RZxMtdefbOuGa5UmFslVbA"
"1","2023/08/31","ロ-ソン","-1091","VIEW CARD(VIEW's NET サービスID)","食費","食料品","","0","0QT8GEMZQnRTGdshsu4cMw"
"1","2023/08/31","ヌマサワデンタルクリニック","-3700","VIEW CARD(VIEW's NET サービスID)","健康・医療","医療費","","0","RFcYiEjYCLgAekTuDMOSFA"
"1","2023/08/31","振込 カ)モデルランゲ-ジスタジオ","20100","三井住友銀行(一晃)","収入","還付","","0","MTRepGjxeARujKWtjEq3Rg"
"0","2023/08/31","DF.ウエルスナビ","-15000","三井住友銀行(一晃)","その他","事業投資","","1","kIu4Y4RYYFatKyiUhfmMxQ"
"0","2023/08/31","振替 SBI証券","-2050","住信SBIネット銀行(一晃)","特別な支出","投資","","1","Ob0kGKl5wvm08YKM8EN3nw"
"1","2023/08/30","マルガメセイメン ムサシサカイ","-2150","VIEW CARD(VIEW's NET サービスID)","食費","外食","","0","Lc3Ha9aSYs2qZcby7C_hvg"
"1","2023/08/30","エコ薬局/iD","-850","三井住友カード","健康・医療","薬","","0","71D3tCPI_aVkrePBx4K9oA"
"1","2023/08/30","ローソン/iD","-762","三井住友カード","日用品","お小遣い(一晃)","","0","SHiC8NNazlgfz9N4AcXtKQ"
"1","2023/08/30","セブン-イレブン/iD","-7180","三井住友カード","食費","食料品","","0","VSj2uaV-WI9PuGe45qh7Qw"
"0","2023/08/30","振替 SBI証券","-2900","住信SBIネット銀行(一晃)","特別な支出","投資","","1","vowd4lY56XMhU7JcASLKfQ"
"1","2023/08/30","ほりうちクリニック","-3890","財布（青木家）","健康・医療","医療費","","0","uVLrleycXthLOa2lKNrV3g"
"1","2023/08/29","タイラヤムサシサカイテン","-2171","VIEW CARD(VIEW's NET サービスID)","食費","食料品","","0","-PiYf_PWCuXKvTrD4qtIvQ"
"1","2023/08/29","パルシステム手数料(8月5回)","-165","パルシステム","その他","雑費","","0","mWf2wXQh7swLWdPXzb8xKA"
"1","2023/08/29","毎週お届け 3日分の時短ごはんセット 2人分 レシピ","-3873","パルシステム","食費","食料品","","0","LjMLUipJckowy6AUvIuOcQ"
"1","2023/08/29","【定期お届け】 【毎週】酪農家の低脂肪牛乳 1000ml レシピ","-279","パルシステム","食費","食料品","","0","lhbGF1KVnR6vuVEKRzXnEg"
"1","2023/08/29","【定期お届け】 【毎週】酪農家の牛乳 1000ml レシピ","-873","パルシステム","食費","食料品","","0","IglmQxx2mx6EsqpURsbhTg"
"0","2023/08/29","振替 SBI証券","-2400","住信SBIネット銀行(一晃)","特別な支出","投資","","1","nsPZVY2pMk3Bmzn6cj3zpg"
"1","2023/08/28","【Amazon.co.jp限定】あずきのチカラ 首肩用 100%あずきの天然蒸気 約250回 チンしてくり返し使える ピンク 1個 (おまけ付) 小林製薬 販売: アマゾンジャパン合同会社","-1760","Amazon.co.jp","健康・医療","薬","","0","lMhxiffXaXeDTUISyu9kWw"
"1","2023/08/28","アイリスオーヤマ(IRIS OHYAMA) 使い捨てカイロ 貼る ほんわか低温 ミニサイズサイズ 30枚 日本製 30HM 販売: アマゾンジャパン合同会社","-983","Amazon.co.jp","日用品","お小遣い(美代子)","","0","9l32xocIYm7uIw7EmSzhxg"
"1","2023/08/28","ローソン/iD","-1101","三井住友カード","日用品","お小遣い(一晃)","","0","WneV7gJIduLJM1cZ1F4BrA"
"0","2023/08/28","振替 SBI証券","-1600","住信SBIネット銀行(一晃)","特別な支出","投資","","1","R0c88X5uNNrYz7UUmcfK8w"
"1","2023/08/28","ペイペイカ-ド","-508","三井住友銀行(一晃)","その他","雑費","","0","JtFYfUUJdyx5jedkHzLj0w"
"1","2023/08/28","ミツイスミトモカイジヨウカサイホケン","-31640","三井住友銀行(一晃)","保険","その他保険","","0","sx2_L9uZx3i1ST10I1IiNw"
"0","2023/08/28","DF.ウエルスナビ","-15000","三井住友銀行(一晃)","その他","事業投資","","1","P9yM_wsTyDpLOaa9m1ZwUA"
"1","2023/08/27","おふろの王様 花小金井店","-2790","三井住友カード","日用品","お小遣い(美代子)","","0","Gc2ljEKxIkJNQ_lyf3cS7w"
"1","2023/08/27","おふろの王様 花小金井店","-330","三井住友カード","日用品","お小遣い(美代子)","","0","oWwwGTrLKsfWcN9Ou25acQ"
"1","2023/08/27","セブン-イレブン/iD","-2499","三井住友カード","食費","食料品","","0","AvfszX9E1NbV-tqVmWKUAQ"
"1","2023/08/26","Amazonポイント","427","Amazon.co.jp","収入","一時所得","","0","Vww0uoFzSad9HcZHPNG44w"
"1","2023/08/26","割引","22","Amazon.co.jp","収入","一時所得","","0","fN2tG5mc8ftAGyNEC7Gluw"
"1","2023/08/26","テトラ (Tetra) バイオバッグジュニア お買得 3個 外掛け式フィルター ワンタッチフィルター専用 販売: アマゾンジャパン合同会社","-449","Amazon.co.jp","趣味・娯楽","その他趣味・娯楽","","0","qeC_nHPesLCzIP1E9p_xBQ"
"1","2023/08/26","Kindle Unlimited 販売: Amazon Services International LLC","-980","Amazon.co.jp","教養・教育","書籍","","0","qM_9bCVCy4c28fo0Bfyytw"
"1","2023/08/26","おふろの王様 花小金井店","-12000","三井住友カード","日用品","お小遣い(美代子)","","0","i-lJUmJlbF-xm0ZUc6lFuA"
"1","2023/08/26","おふろの王様 花小金井店","-2360","三井住友カード","日用品","お小遣い(美代子)","","0","TVabcd_VmpORAd2N44hCqA"
"1","2023/08/26","TAIRAYA武蔵境店","-2010","三井住友カード","食費","食費","","0","wY4LH9f6Loa_HMYlyyf02A"
"1","2023/08/26","オーケー三鷹北口店/iD","-945","三井住友カード","食費","食料品","","0","jQI4TIsyJb31OGtRNXzAng"
"1","2023/08/26","飲料自販機/iD","-130","三井住友カード","食費","食料品","","0","fdipiTA9i5pWilb56E5SEA"
"1","2023/08/25","アルケア クイックフィックス カテーテル固定補助テープ 19392 2号 100枚 販売: アマゾンジャパン合同会社","-4777","Amazon.co.jp","日用品","介護用品","","0","0OcfoeUNu7_QxNFavuEDMA"
"1","2023/08/25","ニッコー 保存袋 半透明 ポリ袋 25×35cm 600枚 (200枚×3BOX) AB-3-3 販売: アマゾンジャパン合同会社","-1091","Amazon.co.jp","日用品","介護用品","","0","Ko6_Oeldp2cQe73ctIyw4Q"
"1","2023/08/25","大塚製薬工場 経口補水液 オーエスワン 500mlx24本 販売: アマゾンジャパン合同会社","-4091","Amazon.co.jp","日用品","介護用品","","0","OrQYt9GjiEAEdAEtP9sorw"
"1","2023/08/25","カフエ ミニヨン","-1820","VIEW CARD(VIEW's NET サービスID)","食費","カフェ","","0","BmI4f6TciG02PjaGQybxpQ"
"1","2023/08/25","サ-テイワンアイスクリ-ム","-500","VIEW CARD(VIEW's NET サービスID)","食費","食料品","","0","d1QhkvE6l9ouR1KxAFcGuw"
"1","2023/08/25","トウキユウヒヤツカテン キチジヨウジテン","-580","VIEW CARD(VIEW's NET サービスID)","食費","食料品","","0","LFbIC1rMrDBwgzYJDTbXVA"
"1","2023/08/25","アトレヴィ三鷹 QUEEN’S ISETAN 三鷹店","-2146","VIEW CARD(VIEW's NET サービスID)","衣服・美容","衣服","","0","Yqcn1TBUMdWrFi4srTtVXQ"
"1","2023/08/25","アトレ吉祥寺 カフェド銀座みゆき館","-1944","VIEW CARD(VIEW's NET サービスID)","衣服・美容","衣服","","0","_WgMSh4HSbp41rYv6ZcWsQ"
"1","2023/08/25","アトレ吉祥寺 オリーブハウス","-3113","VIEW CARD(VIEW's NET サービスID)","衣服・美容","衣服","","0","c8PKot0GXcduFvb7FAVkjQ"
"0","2023/08/25","振替 SBI証券","-1600","住信SBIネット銀行(一晃)","特別な支出","投資","","1","pRjrBw1KMenf--3toabCcw"
"1","2023/08/25","給料振込 ミツイジヨウホウ(カ","338200","三井住友銀行(一晃)","収入","給与","","0","bnNBdPSJQnTd9RPfDj66tw"
"1","2023/08/24","ウエルテック 歯肉炎予防 コンクールF 100ml×2個+お試しコンクールF 7ml×2個 コンクール 洗口液 販売: HOSHINO_STORE","-2375","Amazon.co.jp","日用品","お小遣い(美代子)","","0","WYbwhfZev_qBAUb3lNOg1A"
"1","2023/08/24","Pythonではじめる 会計データサイエンス 販売: アマゾンジャパン合同会社","-3630","Amazon.co.jp","日用品","お小遣い(美代子)","","0","iJK1h5XCXwmhRpy23pzEFA"
"1","2023/08/24","トウキユウヒヤツカテン キチジヨウジテン","-1793","VIEW CARD(VIEW's NET サービスID)","食費","食料品","","0","O6IkngWoc0TpDbiQsiS0FQ"
"1","2023/08/24","イト-ヨ-カド- センモンテン","-15015","VIEW CARD(VIEW's NET サービスID)","食費","食料品","","0","zsrnplIb-OTEEgHACp9vCA"
"1","2023/08/24","トウキユウヒヤツカテン キチジヨウジテン","-580","VIEW CARD(VIEW's NET サービスID)","食費","食料品","","0","XdHi_OcDeK5lNg1HgoxtwA"
"1","2023/08/24","イト-ヨ-カド- センモンテン シヨクヒン","-380","VIEW CARD(VIEW's NET サービスID)","食費","食料品","","0","8D9EEX1KIAakbekclAYRdQ"
"1","2023/08/24","イト-ヨ-カド- センモンテン","-224","VIEW CARD(VIEW's NET サービスID)","食費","食料品","","0","pKwelyLxTjvO821vcAqe4g"
"0","2023/08/24","振替 SBI証券","-2050","住信SBIネット銀行(一晃)","特別な支出","投資","","1","pvYLbJzN7T2jyUyj_t__Sg"
"1","2023/08/23","シヤツタ-ズ キチジヨウジ","-4008","VIEW CARD(VIEW's NET サービスID)","食費","外食","","0","MoEIIAF2_pVW2F2dnIO0wQ"
"1","2023/08/23","沼澤デンタルクリニック","-2860","三井住友カード","健康・医療","医療費","","0","xv-ossJbbocEzj53ec7FYw"
"1","2023/08/23","イトーヨーカドー 武蔵小金井店/iD","-2900","三井住友カード","食費","食料品","","0","QzQARXq04fo8ud0RWGK9bQ"
"1","2023/08/23","ローソン/iD","-5992","三井住友カード","日用品","お小遣い(一晃)","","0","U6Opdaq18ncr75pnW44kBA"
"1","2023/08/23","振込 トウデンPG コウニユウ","4200","三井住友銀行(一晃)","収入","太陽光発電　売電気","","0","x4J1-VGjLkObjR-zrzox8w"
"0","2023/08/23","振替 SBI証券","-2900","住信SBIネット銀行(一晃)","特別な支出","投資","","1","hgxOt8UcAer_5ZLQuKcT0g"
"0","2023/08/22","パルシステム東京(増資等)","-800","三井住友カード","食費","食料品","","1","EbOt6AOUo5Z_fmT9Dtu6Wg"
"1","2023/08/22","吉祥寺 東急百貨店","-580","三井住友カード","日用品","子育て用品","","0","daVjTJxKUixf9glaOnY-gw"
